2026-09-23 23:17:46 | https://intranet2.sbs.gob.pe/estadistica/financiera/2022/Abril/B-2402-ab2022.XLS | HTTP 200 | OK
2026-09-23 23:17:47 | https://intranet2.sbs.gob.pe/estadistica/financiera/2022/Marzo/B-2402-mr2022.XLS | HTTP 404 | FALLO
2026-09-23 23:17:48 | https://intranet2.sbs.gob.pe/estadistica/financiera/2022/Febrero/B-2402-fe2022.XLS | HTTP 200 | OK
2026-09-23 23:17:49 | https://intranet2.sbs.gob.pe/estadistica/financiera/2022/Enero/B-2402-en2022.XLS | HTTP 200 | OK
2026-09-23 23:17:51 | https://intranet2.sbs.gob.pe/estadistica/financiera/2021/Diciembre/B-2402-di2021.XLS | HTTP 200 | OK
2026-09-23 23:17:52 | https://intranet2.sbs.gob.pe/estadistica/financiera/2021/Noviembre/B-2402-no2021.XLS | HTTP 200 | OK
2026-09-23 23:17:53 | https://intranet2.sbs.gob.pe/estadistica/financiera/2021/Octubre/B-2402-oc2021.XLS | HTTP 200 | OK
2026-09-23 23:17:54 | https://intranet2.sbs.gob.pe/estadistica/financiera/2021/Setiembre/B-2402-se2021.XLS | HTTP 200 | OK
2026-09-23 23:17:55 | https://intranet2.sbs.gob.pe/estadistica/financiera/2021/Agosto/B-2402-ag2021.XLS | HTTP 200 | OK
2026-09-23 23:17:57 | https://intranet2.sbs.gob.pe/estadistica/financiera/2021/Julio/B-2402-jl2021.XLS | HTTP 200 | OK
2026-09-23 23:17:58 | https://intranet2.sbs.gob.pe/estadistica/financiera/2021/Junio/B-2402-jn2021.XLS | HTTP 200 | OK
2026-09-23 23:17:59 | https://intranet2.sbs.gob.pe/estadistica/financiera/2021/Mayo/B-2402-my2021.XLS | HTTP 200 | OK
2026-09-23 23:18:00 | https://intranet2.sbs.gob.pe/estadistica/financiera/2021/Abril/B-2402-ab2021.XLS | HTTP 200 | OK
2026-09-23 23:18:01 | https://intranet2.sbs.gob.pe/estadistica/financiera/2021/Marzo/B-2402-mr2021.XLS | HTTP 404 | FALLO
2026-09-23 23:18:02 | https://intranet2.sbs.gob.pe/estadistica/financiera/2021/Febrero/B-2402-fe2021.XLS | HTTP 200 | OK
2026-09-23 23:18:03 | https://intranet2.sbs.gob.pe/estadistica/financiera/2021/Enero/B-2402-en2021.XLS | HTTP 200 | OK
2026-09-23 23:18:05 | https://intranet2.sbs.gob.pe/estadistica/financiera/2020/Diciembre/B-2402-di2020.XLS | HTTP 200 | OK
2026-09-23 23:18:06 | https://intranet2.sbs.gob.pe/estadistica/financiera/2020/Noviembre/B-2402-no2020.XLS | HTTP 200 | OK
2026-09-23 23:18:07 | https://intranet2.sbs.gob.pe/estadistica/financiera/2020/Octubre/B-2402-oc2020.XLS | HTTP 200 | OK
2026-09-23 23:18:08 | https://intranet2.sbs.gob.pe/estadistica/financiera/2020/Setiembre/B-2402-se2020.XLS | HTTP 200 | OK
2026-09-23 23:18:09 | https://intranet2.sbs.gob.pe/estadistica/financiera/2020/Agosto/B-2402-ag2020.XLS | HTTP 200 | OK
2026-09-23 23:18:10 | https://intranet2.sbs.gob.pe/estadistica/financiera/2020/Julio/B-2402-jl2020.XLS | HTTP 200 | OK
2026-09-23 23:18:11 | https://intranet2.sbs.gob.pe/estadistica/financiera/2020/Junio/B-2402-jn2020.XLS | HTTP 200 | OK
2026-09-23 23:18:13 | https://intranet2.sbs.gob.pe/estadistica/financiera/2020/Mayo/B-2402-my2020.XLS | HTTP 200 | OK
2026-09-23 23:18:14 | https://intranet2.sbs.gob.pe/estadistica/financiera/2020/Abril/B-2402-ab2020.XLS | HTTP 200 | OK
2026-09-23 23:18:15 | https://intranet2.sbs.gob.pe/estadistica/financiera/2020/Marzo/B-2402-mr2020.XLS | HTTP 404 | FALLO
2026-09-23 23:18:16 | https://intranet2.sbs.gob.pe/estadistica/financiera/2020/Febrero/B-2402-fe2020.XLS | HTTP 200 | OK
2026-09-23 23:18:17 | https://intranet2.sbs.gob.pe/estadistica/financiera/2020/Enero/B-2402-en2020.XLS | HTTP 200 | OK
2026-09-23 23:18:18 | https://intranet2.sbs.gob.pe/estadistica/financiera/2019/Diciembre/B-2402-di2019.XLS | HTTP 200 | OK
2026-09-23 23:18:19 | https://intranet2.sbs.gob.pe/estadistica/financiera/2019/Noviembre/B-2402-no2019.XLS | HTTP 200 | OK
2026-09-23 23:18:21 | https://intranet2.sbs.gob.pe/estadistica/financiera/2019/Octubre/B-2402-oc2019.XLS | HTTP 200 | OK
2026-09-23 23:18:22 | https://intranet2.sbs.gob.pe/estadistica/financiera/2019/Setiembre/B-2402-se2019.XLS | HTTP 200 | OK
2026-09-23 23:18:23 | https://intranet2.sbs.gob.pe/estadistica/financiera/2019/Agosto/B-2402-ag2019.XLS | HTTP 200 | OK
2026-09-23 23:18:24 | https://intranet2.sbs.gob.pe/estadistica/financiera/2019/Julio/B-2402-jl2019.XLS | HTTP 200 | OK
2026-09-23 23:18:25 | https://intranet2.sbs.gob.pe/estadistica/financiera/2019/Junio/B-2402-jn2019.XLS | HTTP 200 | OK
2026-09-23 23:18:26 | https://intranet2.sbs.gob.pe/estadistica/financiera/2019/Mayo/B-2402-my2019.XLS | HTTP 200 | OK
2026-09-23 23:18:28 | https://intranet2.sbs.gob.pe/estadistica/financiera/2019/Abril/B-2402-ab2019.XLS | HTTP 200 | OK
2026-09-23 23:18:29 | https://intranet2.sbs.gob.pe/estadistica/financiera/2019/Marzo/B-2402-mr2019.XLS | HTTP 404 | FALLO
2026-09-23 23:18:30 | https://intranet2.sbs.gob.pe/estadistica/financiera/2019/Febrero/B-2402-fe2019.XLS | HTTP 200 | OK
2026-09-23 23:18:31 | https://intranet2.sbs.gob.pe/estadistica/financiera/2019/Enero/B-2402-en2019.XLS | HTTP 200 | OK
2026-09-23 23:18:32 | https://intranet2.sbs.gob.pe/estadistica/financiera/2018/Diciembre/B-2402-di2018.XLS | HTTP 200 | OK
2026-09-23 23:18:33 | https://intranet2.sbs.gob.pe/estadistica/financiera/2018/Noviembre/B-2402-no2018.XLS | HTTP 200 | OK
2026-09-23 23:18:34 | https://intranet2.sbs.gob.pe/estadistica/financiera/2018/Octubre/B-2402-oc2018.XLS | HTTP 200 | OK
2026-09-23 23:18:36 | https://intranet2.sbs.gob.pe/estadistica/financiera/2018/Setiembre/B-2402-se2018.XLS | HTTP 200 | OK
2026-09-23 23:18:37 | https://intranet2.sbs.gob.pe/estadistica/financiera/2018/Agosto/B-2402-ag2018.XLS | HTTP 200 | OK
2026-09-23 23:18:38 | https://intranet2.sbs.gob.pe/estadistica/financiera/2018/Julio/B-2402-jl2018.XLS | HTTP 200 | OK
2026-09-23 23:18:39 | https://intranet2.sbs.gob.pe/estadistica/financiera/2018/Junio/B-2402-jn2018.XLS | HTTP 200 | OK
2026-09-23 23:18:40 | https://intranet2.sbs.gob.pe/estadistica/financiera/2018/Mayo/B-2402-my2018.XLS | HTTP 200 | OK
2026-09-23 23:18:41 | https://intranet2.sbs.gob.pe/estadistica/financiera/2018/Abril/B-2402-ab2018.XLS | HTTP 200 | OK
2026-09-23 23:18:43 | https://intranet2.sbs.gob.pe/estadistica/financiera/2018/Marzo/B-2402-mr2018.XLS | HTTP 404 | FALLO
2026-09-23 23:18:44 | https://intranet2.sbs.gob.pe/estadistica/financiera/2018/Febrero/B-2402-fe2018.XLS | HTTP 200 | OK
2026-09-23 23:18:45 | https://intranet2.sbs.gob.pe/estadistica/financiera/2018/Enero/B-2402-en2018.XLS | HTTP 200 | OK
